company_name,col_name,min_cont_length,horizon,model_name,MAE,MdAE,RMSE,MASE,MdASE
C,NormSpend,13,1,lstm8f,0.217383,0.149629,0.296431,0.948465,0.853059
C,NormSpend,13,1,naive,0.186342,0.136206,0.262641,0.813030,0.776530
C,NormSpend,13,3,arima3,0.163854,0.117727,0.229102,0.737544,0.692640
C,NormSpend,13,3,arima6,0.188706,0.131894,0.277958,0.849409,0.775987
C,NormSpend,13,3,arma3,0.152182,0.112239,0.209106,0.685008,0.660347
C,NormSpend,13,3,arma6,0.181961,0.128345,0.261457,0.819051,0.755107
C,NormSpend,13,3,flstm32,0.197028,0.135506,0.270681,0.886869,0.797240
C,NormSpend,13,3,flstm8,0.196472,0.131499,0.270005,0.884365,0.773664
C,NormSpend,13,3,flstm8bv,0.192923,0.130335,0.266055,0.868394,0.766816
C,NormSpend,13,3,lstm16,0.144642,0.110638,0.193396,0.651070,0.650931
C,NormSpend,13,3,lstm16b,0.144123,0.109887,0.193084,0.648731,0.646514
C,NormSpend,13,3,lstm32,0.144678,0.111296,0.193514,0.651229,0.654800
C,NormSpend,13,3,lstm32b,0.144756,0.110771,0.193216,0.651582,0.651716
C,NormSpend,13,3,lstm32bf,0.164799,0.117123,0.227969,0.741801,0.689088
C,NormSpend,13,3,lstm32bv,0.144423,0.106874,0.196529,0.650083,0.628786
C,NormSpend,13,3,lstm32f,0.197028,0.135506,0.270681,0.886869,0.797240
C,NormSpend,13,3,lstm4,0.143695,0.108561,0.193280,0.646803,0.638712
C,NormSpend,13,3,lstm4b,0.143262,0.107975,0.192989,0.644856,0.635263
C,NormSpend,13,3,lstm8,0.145058,0.110703,0.193485,0.652938,0.651314
C,NormSpend,13,3,lstm8b,0.143608,0.109438,0.193016,0.646415,0.643870
C,NormSpend,13,3,lstm8bf,0.153437,0.124746,0.203403,0.690656,0.733935
C,NormSpend,13,3,lstm8bv,0.141954,0.104766,0.194254,0.638971,0.616382
C,NormSpend,13,3,lstm8f,0.196472,0.131499,0.270005,0.884365,0.773664
C,NormSpend,13,3,naive,0.181940,0.132342,0.255781,0.818955,0.778622
C,NormSpend,13,6,arima3,0.193361,0.138682,0.267723,0.767767,0.719592
C,NormSpend,13,6,arima6,0.227609,0.152869,0.354931,0.903754,0.793205
C,NormSpend,13,6,arma3,0.179129,0.130572,0.245251,0.711257,0.677509
C,NormSpend,13,6,arma6,0.207729,0.147784,0.299575,0.824819,0.766823
C,NormSpend,13,6,flstm32,0.230148,0.155274,0.314165,0.913836,0.805688
